id,parent,tipo,sku,nombre,old_stock,new_stock,new_status,old_status,manage,old_price,new_price
19002,19000,variation,860007448928,RAW-SLEEP-MIXED BERRY (SOPORTE PARA UN MEJOR SUEÑO REPARADOR),17,17,instock,instock,True,32.99,32.99
19064,19061,variation,650076635257,VMS-PROTEIN ISOLATE-HIDROLIZED BIO-ACTIVE DE FRESA 5LB,102,102,instock,instock,True,95.99,95.99
20448,20442,variation,842595135534,C4 PERFORMANCE 16OZ FROST BITTEN CITRUS,51,51,instock,instock,True,45.6,3.80
9190,0,simple,612590416057,CLA -2000 120 CAPSULAS- LANDERFIT,8,8,instock,instock,True,21.99,21.99
19782,19778,variation,859400007559,ISOFIT VAINILLA ICE CREAM 2 LBS. NUTREX,70,70,instock,instock,True,59.99,62.99
13391,0,simple,810014679570,YOHIMBINE120 CAPSULAS,94,94,instock,instock,True,21.99,21.99
9208,0,simple,612590416071,TRIBULUS TERRESTRIS STI 90-CAPSULAS- LANDERFIT,16,16,instock,instock,True,22.99,22.99
18187,18186,variation,745560722138,PROLIVE BIO5 VAINILLA DE 5 LB IMPULSE,38,38,instock,instock,True,95.99,95.99
21335,0,simple,817189020510,ISOJET VAINILLA BEAN 1.85 LBS 28 SERVING EVOGEN,11,11,instock,instock,True,58.99,58.99
18906,18903,variation,810390028313,ALPHA AMINO 30 SERV. ICY BLUE RAZZ CELLUCOR,12,12,instock,instock,True,29.99,29.99
19408,19402,variation,810121053966,EVP XTREME PEACH RINGS,2,2,outofstock,outofstock,True,49.99,49.99
11192,0,simple,829263000240,BCCA SUPER 8 MARACUYA 30 SERV - MUSCLEOLOGY,2,2,outofstock,outofstock,True,34.99,34.99
19308,19304,variation,810121057971,EVP 3D CITRUS CANDY- EVOGEN,6,6,outofstock,outofstock,True,49.99,49.99
19306,19304,variation,810121058954,EVP 3D BLACK LEMONADE-EVOGEN,9,9,instock,instock,True,49.99,49.99
18194,18186,variation,608631655486,PROLIVE BIO5 CAPUCHINO 5 LIBRAS IMPULSE,213,213,instock,instock,True,95.99,95.99
19432,19430,variation,810121058015,CELL K.E.M PEACH RING,4,4,outofstock,outofstock,True,54.99,54.99
19779,19778,variation,853237000837,ISOFIT 30 SERVING STRAWERRY NUTREX,55,55,instock,instock,True,59.99,62.99
9151,0,simple,612590416644,"VEGAN-PROTEIN VAINILLA 2,04 LBS LANDERFIT",39,39,instock,instock,True,44.99,44.99
19411,19402,variation,810121053553,EVP XTREME N.O. STRAWERRY LEMONADE-EVOGEN,2,2,outofstock,outofstock,True,49.99,49.99
19309,19304,variation,810121053980,EVP 3D POLAR CHRRY FROST- EVOGEN,9,9,instock,instock,True,49.99,49.99
9214,0,simple,612590416446,VITAMINA C- 1000MG -LANDFERFIT,7,7,instock,instock,True,20.99,20.99
