sku,nombre,tipo,wc_stock,wc_status,inv_stock,nuevo_status,diferencia,wc_price,inv_price,price_change,cambiara
612590415883,COLAGENO-HIDROLIZADO + VITAMINA C + ÁCIDO HIALURONICO – SABOR NARANJA – 30 SERV – LANDERFIT,simple,89,instock,89,instock,0,32.99,32.99,no,no
842595135541,C4 PERFORMANCE CHERRY BOMB FROST,variation,5,outofstock,5,outofstock,0,45.6,3.80,SI,SI
842595121766,C4 PERFORMANCE COSMIC RAINBOW,variation,111,instock,111,instock,0,45.6,3.80,SI,SI
842595134964,C4 PERFORMANCE ENERGY 16OZ WATERMELON JOLLY RANCHER,variation,45,instock,44,instock,-1,45.6,3.80,SI,SI
853237000738,PROTEINA ISOFIT COOKIES &CREAM 30 SERV. NUTREX,variation,52,instock,51,instock,-1,62.99,62.99,no,SI
817189020190,GLYCOJET UN FLAVORED,variation,7,instock,7,instock,0,54.99,54.99,no,no
748927055351,AMINO ENERGY GREEN APPLE 585G,variation,3,outofstock,3,outofstock,0,59.99,59.99,no,no
842595131628,C4 PERFORMANCE 16OZ CREAMISCLE,variation,111,instock,111,instock,0,45.6,3.80,SI,SI
842595131277,C4 PERFORMANCE 16OZ POPSICLE GRAPE,variation,182,instock,181,instock,-1,45.6,3.80,SI,SI
748927051308,AMINO ENERGY WATERMELON 585G,variation,92,instock,92,instock,0,59.99,59.99,no,no
612590415838,PREMIUN WHEY LANDERFIT CHOCOLATE 26 SERVING,variation,8,instock,8,instock,0,38.99,38.99,no,no
810121056899,ISOJECT BIRTHDAY CAKE 1.71 LBS ISOJET EVOGEN,variation,4,outofstock,4,outofstock,0,58.99,58.99,no,no
748927060607,AMINO ENERGY RTD SPARLING AE JUCY STRAWERRY OPTIMUN NUTRICION,variation,34,instock,34,instock,0,43.2,3.60,SI,SI
810121053997,EVP 3D VICTORY PUNCH- EVOGEN,variation,4,outofstock,4,outofstock,0,49.99,49.99,no,no
842595134971,C4 PERFORMANCE ENERGY 16OZ GREEN APPLE JOLLY RANCHER,variation,57,instock,55,instock,-2,45.6,3.80,SI,SI
810014675435,VITAMINA B 12 DE 2000 MG 240 CAPSULAS,simple,0,outofstock,0,outofstock,0,22.99,22.99,no,no
